"﻿""Donorregistratie""","""Perioden""","""Regio's""","""Donorregister, vastgelegde keuze (x 1 000)"""
"""Totaal wel of niet geregistreerd""","""2019""","""Bloemendaal""","20,3"
"""Totaal wel of niet geregistreerd""","""2020""","""Bloemendaal""","20,4"
"""Totaal wel of niet geregistreerd""","""2021*""","""Bloemendaal""","20,4"
"""Totaal wel of niet geregistreerd""","""2019""","""Bodegraven-Reeuwijk""","29,7"
"""Totaal wel of niet geregistreerd""","""2020""","""Bodegraven-Reeuwijk""",30
"""Totaal wel of niet geregistreerd""","""2021*""","""Bodegraven-Reeuwijk""","30,3"
"""Totaal wel of niet geregistreerd""","""2019""","""Boekel""","9,3"
"""Totaal wel of niet geregistreerd""","""2020""","""Boekel""","9,5"
"""Totaal wel of niet geregistreerd""","""2021*""","""Boekel""","9,6"
"""Totaal wel of niet geregistreerd""","""2019""","""Borger-Odoorn""","22,6"
"""Totaal wel of niet geregistreerd""","""2020""","""Borger-Odoorn""","22,8"
"""Totaal wel of niet geregistreerd""","""2021*""","""Borger-Odoorn""","22,9"
"""Totaal wel of niet geregistreerd""","""2019""","""Borne""",20
"""Totaal wel of niet geregistreerd""","""2020""","""Borne""","20,1"
"""Totaal wel of niet geregistreerd""","""2021*""","""Borne""","20,4"
"""Totaal wel of niet geregistreerd""","""2019""","""Borsele""","19,7"
"""Totaal wel of niet geregistreerd""","""2020""","""Borsele""","19,7"
"""Totaal wel of niet geregistreerd""","""2021*""","""Borsele""","19,8"
"""Totaal wel of niet geregistreerd""","""2019""","""Boxmeer""",26
"""Totaal wel of niet geregistreerd""","""2020""","""Boxmeer""","26,3"
"""Totaal wel of niet geregistreerd""","""2021*""","""Boxmeer""","26,6"
"""Totaal wel of niet geregistreerd""","""2019""","""Boxtel""",29
"""Totaal wel of niet geregistreerd""","""2020""","""Boxtel""","29,2"
"""Totaal wel of niet geregistreerd""","""2021*""","""Boxtel""","29,3"
"""Totaal wel of niet geregistreerd""","""2019""","""Breda""","161,1"
"""Totaal wel of niet geregistreerd""","""2020""","""Breda""","161,7"
"""Totaal wel of niet geregistreerd""","""2021*""","""Breda""","162,1"
"""Totaal wel of niet geregistreerd""","""2019""","""Brielle""","15,3"
"""Totaal wel of niet geregistreerd""","""2020""","""Brielle""","15,4"
"""Totaal wel of niet geregistreerd""","""2021*""","""Brielle""","15,5"
"""Totaal wel of niet geregistreerd""","""2019""","""Bronckhorst""","32,6"
"""Totaal wel of niet geregistreerd""","""2020""","""Bronckhorst""","32,5"
"""Totaal wel of niet geregistreerd""","""2021*""","""Bronckhorst""","32,6"
"""Totaal wel of niet geregistreerd""","""2019""","""Brummen""","18,6"
"""Totaal wel of niet geregistreerd""","""2020""","""Brummen""","18,6"
"""Totaal wel of niet geregistreerd""","""2021*""","""Brummen""","18,7"
"""Totaal wel of niet geregistreerd""","""2019""","""Brunssum""","25,3"
"""Totaal wel of niet geregistreerd""","""2020""","""Brunssum""","25,1"
"""Totaal wel of niet geregistreerd""","""2021*""","""Brunssum""",25
"""Totaal wel of niet geregistreerd""","""2019""","""Bunnik""",13
"""Totaal wel of niet geregistreerd""","""2020""","""Bunnik""",13
"""Totaal wel of niet geregistreerd""","""2021*""","""Bunnik""","13,1"
"""Totaal wel of niet geregistreerd""","""2019""","""Bunschoten""","18,2"
"""Totaal wel of niet geregistreerd""","""2020""","""Bunschoten""","18,5"
"""Totaal wel of niet geregistreerd""","""2021*""","""Bunschoten""","18,6"
"""Totaal wel of niet geregistreerd""","""2019""","""Buren""","23,3"
"""Totaal wel of niet geregistreerd""","""2020""","""Buren""","23,5"
"""Totaal wel of niet geregistreerd""","""2021*""","""Buren""","23,7"
"""Totaal wel of niet geregistreerd""","""2019""","""Capelle aan den IJssel""","58,1"
"""Totaal wel of niet geregistreerd""","""2020""","""Capelle aan den IJssel""","58,4"
"""Totaal wel of niet geregistreerd""","""2021*""","""Capelle aan den IJssel""","58,8"
"""Totaal wel of niet geregistreerd""","""2019""","""Castricum""","31,8"
"""Totaal wel of niet geregistreerd""","""2020""","""Castricum""","31,9"
"""Totaal wel of niet geregistreerd""","""2021*""","""Castricum""",32
"""Totaal wel of niet geregistreerd""","""2019""","""Coevorden""","31,5"
"""Totaal wel of niet geregistreerd""","""2020""","""Coevorden""","31,3"
"""Totaal wel of niet geregistreerd""","""2021*""","""Coevorden""","31,4"
"""Totaal wel of niet geregistreerd""","""2019""","""Cranendonck""","18,1"
"""Totaal wel of niet geregistreerd""","""2020""","""Cranendonck""","18,7"
"""Totaal wel of niet geregistreerd""","""2021*""","""Cranendonck""","18,7"
"""Totaal wel of niet geregistreerd""","""2019""","""Cuijk""",22
"""Totaal wel of niet geregistreerd""","""2020""","""Cuijk""","22,2"
"""Totaal wel of niet geregistreerd""","""2021*""","""Cuijk""","22,5"
"""Totaal wel of niet geregistreerd""","""2019""","""Culemborg""","24,8"
"""Totaal wel of niet geregistreerd""","""2020""","""Culemborg""","25,2"
"""Totaal wel of niet geregistreerd""","""2021*""","""Culemborg""","25,3"
"""Totaal wel of niet geregistreerd""","""2019""","""Dalfsen""","24,7"
"""Totaal wel of niet geregistreerd""","""2020""","""Dalfsen""","24,9"
"""Totaal wel of niet geregistreerd""","""2021*""","""Dalfsen""","25,1"
"""Totaal wel of niet geregistreerd""","""2019""","""Dantumadiel""","16,4"
"""Totaal wel of niet geregistreerd""","""2020""","""Dantumadiel""","16,4"
"""Totaal wel of niet geregistreerd""","""2021*""","""Dantumadiel""","16,5"
"""Totaal wel of niet geregistreerd""","""2019""","""Delft""","92,8"
"""Totaal wel of niet geregistreerd""","""2020""","""Delft""","93,2"
"""Totaal wel of niet geregistreerd""","""2021*""","""Delft""","93,2"
"""Totaal wel of niet geregistreerd""","""2019""","""Deurne""","28,5"
"""Totaal wel of niet geregistreerd""","""2020""","""Deurne""","28,6"
"""Totaal wel of niet geregistreerd""","""2021*""","""Deurne""","28,6"
"""Totaal wel of niet geregistreerd""","""2019""","""Deventer""","87,1"
"""Totaal wel of niet geregistreerd""","""2020""","""Deventer""","88,1"
"""Totaal wel of niet geregistreerd""","""2021*""","""Deventer""","88,8"
"""Totaal wel of niet geregistreerd""","""2019""","""Diemen""","25,6"
"""Totaal wel of niet geregistreerd""","""2020""","""Diemen""",27
"""Totaal wel of niet geregistreerd""","""2021*""","""Diemen""","27,5"
"""Totaal wel of niet geregistreerd""","""2019""","""Dinkelland""","23,4"
"""Totaal wel of niet geregistreerd""","""2020""","""Dinkelland""","23,5"
"""Totaal wel of niet geregistreerd""","""2021*""","""Dinkelland""","23,6"
"""Totaal wel of niet geregistreerd""","""2019""","""Doesburg""","10,1"
"""Totaal wel of niet geregistreerd""","""2020""","""Doesburg""",10
"""Totaal wel of niet geregistreerd""","""2021*""","""Doesburg""",10
"""Totaal wel of niet geregistreerd""","""2019""","""Doetinchem""","50,6"
"""Totaal wel of niet geregistreerd""","""2020""","""Doetinchem""","51,1"
"""Totaal wel of niet geregistreerd""","""2021*""","""Doetinchem""","51,4"
"""Totaal wel of niet geregistreerd""","""2019""","""Dongen""","22,9"
"""Totaal wel of niet geregistreerd""","""2020""","""Dongen""","23,1"
